file,type,refs_code,refs_pkg,refs_ci,refs_scr,execbit,syntx_ok,last_edit,decision,reason
fix-categories-all-cities.sh,sh,0,0,0,0,non,ok,2025-10-29,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
add-missing-types.js,js,0,0,0,0,non,ok,2025-10-14,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
seo-breadcrumb-qa.ts,ts,0,1,0,0,non,skip,2025-10-30,KEEP,"Refs > 0 ou syntaxe ok"
phase4-revised-fix-slugs.sh,sh,0,0,0,0,oui,ok,2025-10-29,DELETE,"Aucune ref + pattern suspect (revised)"
analyze-missing-articles-detailed.mjs,mjs,0,0,0,12,oui,ok,2025-10-29,KEEP,"Refs > 0 ou syntaxe ok"
fix-localpage-syntax.py,py,0,0,0,0,non,ok,2025-10-14,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
fix-links-nice-FINAL.mjs,mjs,0,0,0,0,oui,ok,2025-10-31,DELETE,"Aucune ref + pattern suspect (FINAL)"
fix-missing-canonicals-all-cities.sh,sh,0,0,0,0,non,ok,2025-10-31,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
phase4-fix-all-prefixes.sh,sh,0,0,0,0,oui,ok,2025-10-29,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
suivi-blogs.sh,sh,0,0,0,0,oui,ok,2025-10-31,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
update-all-categories.js,js,0,0,0,0,non,ok,2025-10-14,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
analyze-404.mjs,mjs,0,0,0,25,oui,ok,2025-10-31,KEEP,"Refs > 0 ou syntaxe ok"
audit/check-blog-links.js,js,0,0,0,0,non,ok,2025-10-16,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
audit/test-blog-urls.js,js,0,0,0,0,non,ok,2025-10-16,DELETE,"Aucune ref + pattern suspect (test)"
audit/audit_complet.sh,sh,0,0,0,0,oui,ok,2025-10-11,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
audit/audit_phase1.sh,sh,0,0,0,0,oui,ok,2025-10-11,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
audit/audit_phase2.sh,sh,0,0,0,0,oui,ok,2025-10-11,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
migrate-canonical-all-cities.sh,sh,0,0,0,0,oui,ok,2025-10-31,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
verify-seo-deployment.sh,sh,0,0,0,0,oui,ok,2025-10-29,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
fix-toulouse-links.sh,sh,0,0,0,0,oui,ok,2025-10-31,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
audit-scripts-analyzer.mjs,mjs,0,0,0,0,oui,ok,,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
verify-real-missing-articles.mjs,mjs,0,0,0,1,oui,ok,2025-10-29,KEEP,"Refs > 0 ou syntaxe ok"
fix-all-sites-for-caprover.sh,sh,0,0,0,0,oui,ok,2025-10-14,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
sync-config-files.sh,sh,0,0,0,11,oui,ok,2025-10-29,KEEP,"Refs > 0 ou syntaxe ok"
fix-all-sites-complete.sh,sh,0,0,0,0,oui,ok,2025-10-14,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
fix/fix-city-capitalization.sh,sh,0,0,0,0,oui,ok,2025-10-11,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
